Mia,Williams,Sales,118432
Quinn,Davis,Sales,44041
Sam,Lee,Sales,94657
Tina,Rodriguez,Sales,87210
Grace,Johnson,Sales,86062
Sam,Jones,Sales,70274
Eve,Brown,Sales,119305
Uma,Smith,Sales,41370
Victor,Johnson,Sales,70000
Wendy,Wilson,Sales,113563
Victor,Brown,Sales,43435
David,Johnson,Sales,55971
Ivy,Smith,Sales,78835
Wendy,Johnson,Sales,115805
Henry,Davis,Sales,55804
David,Johnson,Sales,63984
Eve,Miller,Sales,58523
Eve,Williams,Sales,75387
Paul,Davis,Sales,86754
Victor,Davis,Sales,62607
Frank,Garcia,Sales,88134
Jack,Garcia,Sales,109447
Tina,Garcia,Sales,53126
Ivy,Miller,Sales,105204
Quinn,Williams,Sales,111877
David,Miller,Sales,62151
Olivia,Miller,Sales,64417
Tina,Lee,Sales,67486
Jack,Martinez,Sales,102651
Quinn,Anderson,Sales,62382
Bob,Lee,Sales,51050
Leo,Johnson,Sales,100448
Uma,Brown,Sales,106333
Alice,Smith,Sales,59374
Paul,Johnson,Sales,90146
Xander,Taylor,Sales,115395
David,Williams,Sales,45070
Olivia,Davis,Sales,70194
Uma,Garcia,Sales,88005
Quinn,Wilson,Sales,58000
Karen,Johnson,Sales,77661
Quinn,Miller,Sales,76786
Karen,Jones,Sales,100821
Olivia,Wilson,Sales,110834
Karen,Jones,Sales,75748
Frank,Anderson,Sales,52711
Bob,Anderson,Sales,59724
Olivia,Brown,Sales,89920
Bob,Lee,Sales,52998
Leo,Garcia,Sales,56102
Jack,Davis,Sales,62246
Xander,Anderson,Sales,110688
Carol,Jones,Sales,44045
Mia,Rodriguez,Sales,82258
Olivia,Garcia,Sales,50705
Tina,Anderson,Sales,118479
Olivia,Miller,Sales,99430
Frank,Anderson,Sales,116209
Ivy,Garcia,Sales,64570
Sam,Rodriguez,Sales,71110
Henry,Garcia,Sales,80899
Grace,Lee,Sales,110568
Frank,Brown,Sales,71741
Sam,Davis,Sales,78848
Victor,Martinez,Sales,47061
Jack,Williams,Sales,46602
Frank,Smith,Sales,96945
Carol,Davis,Sales,104223
Paul,Rodriguez,Sales,93547
Karen,Jones,Sales,47059
Quinn,Anderson,Sales,42582
Frank,Wilson,Sales,84405
Alice,Lee,Sales,46770
Victor,Smith,Sales,118970
Xander,Garcia,Sales,110308
Uma,Martinez,Sales,45670
Leo,Martinez,Sales,45905
Victor,Wilson,Sales,57261
Nick,Garcia,Sales,118137
Uma,Anderson,Sales,108083
Frank,Brown,Sales,85160
Karen,Johnson,Sales,45726
Jack,Johnson,Sales,64935
Grace,Taylor,Sales,113626
Wendy,Wilson,Sales,104942
Tina,Garcia,Sales,73795
Karen,Jones,Sales,73631
Nick,Wilson,Sales,115553
Leo,Rodriguez,Sales,53102
Rose,Williams,Sales,72547
Henry,Smith,Sales,115590
Bob,Garcia,Sales,114490
Tina,Davis,Sales,78309
Mia,Rodriguez,Sales,63187
Jack,Smith,Sales,102107
Karen,Williams,Sales,46473
Tina,Johnson,Sales,79361
Henry,Williams,Sales,112904
Wendy,Rodriguez,Sales,80778
Alice,Jones,Sales,76041
Jack,Davis,Sales,71296
Alice,Brown,Sales,70095
Eve,Martinez,Sales,89753
Paul,Martinez,Sales,97429
Carol,Lee,Sales,79211
David,Wilson,Sales,47520
Wendy,Garcia,Sales,60788
Xander,Wilson,Sales,43980
Ivy,Jones,Sales,43638
Uma,Smith,Sales,54041
Quinn,Johnson,Sales,116703
Rose,Lee,Sales,77140
Eve,Lee,Sales,110590
David,Lee,Sales,115086
David,Smith,Sales,89343
Olivia,Taylor,Sales,74695
Mia,Taylor,Sales,112039
David,Davis,Sales,72389
Eve,Davis,Sales,50446
Jack,Lee,Sales,86068
Rose,Lee,Sales,74648
David,Miller,Sales,43208
Grace,Brown,Sales,69153
Mia,Davis,Sales,45381
